user_id,category,questions,score
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Health,i choose foods because they keep me healthy,4
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Weight Control,i choose foods that help me control my weight,4
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Convenience,i choose foods that are convenient to prepare,4
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Sensory Appeal,i choose foods for their taste,3
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Natural Content,i choose foods for ecologicalsustainability reasons,3
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Ethical Concern,i choose foods for ethical or religious reasons,4
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Familiarity,i choose foods that are familiartraditional,4
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Price,i choose foods based on price,4
generated-38f0f45f-96e5-44c8-a839-6cdeaf322610,Mood,i choose foods that improve my mood,3
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Health,i choose foods because they keep me healthy,3
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Weight Control,i choose foods that help me control my weight,Not very important
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Convenience,i choose foods that are convenient to prepare,Not very important
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Sensory Appeal,i choose foods for their taste,3
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Natural Content,i choose foods for ecologicalsustainability reasons,3
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Familiarity,i choose foods that are familiartraditional,Not very important
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Price,i choose foods based on price,Not very important
generated-bcc18ede-9ebd-4f3f-9fae-b5cc34560979,Mood,i choose foods that improve my mood,Unimportant
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Health,i choose foods because they keep me healthy,3
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Weight Control,i choose foods that help me control my weight,3
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Convenience,i choose foods that are convenient to prepare,3
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Sensory Appeal,i choose foods for their taste,Not very important
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Familiarity,i choose foods that are familiartraditional,Not at all important
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Price,i choose foods based on price,3
generated-7bdc7b0c-9edf-4cff-a8b2-934b0134551f,Mood,i choose foods that improve my mood,3
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Health,i choose foods because they keep me healthy,3
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Weight Control,i choose foods that help me control my weight,Not very important
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Convenience,i choose foods that are convenient to prepare,Not very important
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Sensory Appeal,i choose foods for their taste,Not very important
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Familiarity,i choose foods that are familiartraditional,Not very important
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Price,i choose foods based on price,3
generated-05fc1532-ac76-4edb-ba8c-9995bf88d19c,Mood,i choose foods that improve my mood,3
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Health,i choose foods because they keep me healthy,4
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Weight Control,i choose foods that help me control my weight,3
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Convenience,i choose foods that are convenient to prepare,4
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Sensory Appeal,i choose foods for their taste,3
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Natural Content,i choose foods for ecologicalsustainability reasons,1
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Familiarity,i choose foods that are familiartraditional,2
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Price,i choose foods based on price,1
generated-ebade550-0e51-4f47-b9d2-2899239d29a3,Mood,i choose foods that improve my mood,1
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Health,i choose foods because they keep me healthy,4
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Weight Control,i choose foods that help me control my weight,4
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Convenience,i choose foods that are convenient to prepare,3
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Sensory Appeal,i choose foods for their taste,3
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Natural Content,i choose foods for ecologicalsustainability reasons,3
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Ethical Concern,i choose foods for ethical or religious reasons,4
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Familiarity,i choose foods that are familiartraditional,3
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Price,i choose foods based on price,3
generated-7b933d8c-4907-44d9-8dcb-0981eba8b07d,Mood,i choose foods that improve my mood,2
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Health,i choose foods because they keep me healthy,Not very important
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Weight Control,i choose foods that help me control my weight,Not very important
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Convenience,i choose foods that are convenient to prepare,3
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Sensory Appeal,i choose foods for their taste,4
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Natural Content,i choose foods for ecologicalsustainability reasons,Not very important
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Familiarity,i choose foods that are familiartraditional,Not very important
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Price,i choose foods based on price,3
generated-0472f99e-4029-4764-966e-644d0cc4a0ad,Mood,i choose foods that improve my mood,3
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Health,i choose foods because they keep me healthy,4
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Weight Control,i choose foods that help me control my weight,3
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Convenience,i choose foods that are convenient to prepare,Not very important
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Sensory Appeal,i choose foods for their taste,4
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Natural Content,i choose foods for ecologicalsustainability reasons,Not very important
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Familiarity,i choose foods that are familiartraditional,3
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Price,i choose foods based on price,Not very important
generated-1778d1bf-f138-4d31-a4af-43ffa5699df0,Mood,i choose foods that improve my mood,4
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Health,i choose foods because they keep me healthy,3
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Weight Control,i choose foods that help me control my weight,3
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Convenience,i choose foods that are convenient to prepare,3
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Sensory Appeal,i choose foods for their taste,3
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Familiarity,i choose foods that are familiartraditional,Not at all important
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Price,i choose foods based on price,Not at all important
generated-1b75bc75-a124-444a-a482-fb761969b2ac,Mood,i choose foods that improve my mood,Unimportant
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Health,i choose foods because they keep me healthy,2
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Weight Control,i choose foods that help me control my weight,1
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Convenience,i choose foods that are convenient to prepare,3
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Sensory Appeal,i choose foods for their taste,4
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Natural Content,i choose foods for ecologicalsustainability reasons,2
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Familiarity,i choose foods that are familiartraditional,4
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Price,i choose foods based on price,3
generated-d363f2c2-d3e3-4303-ab23-02a53ad1c8c4,Mood,i choose foods that improve my mood,4
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Health,i choose foods because they keep me healthy,4
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Weight Control,i choose foods that help me control my weight,3
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Convenience,i choose foods that are convenient to prepare,Not very important
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Sensory Appeal,i choose foods for their taste,3
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Natural Content,i choose foods for ecologicalsustainability reasons,Not very important
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Ethical Concern,i choose foods for ethical or religious reasons,Not very important
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Familiarity,i choose foods that are familiartraditional,Not very important
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Price,i choose foods based on price,3
generated-2f1e7452-484d-4860-8c19-55ffdb57b8d7,Mood,i choose foods that improve my mood,Not at all important
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Health,i choose foods because they keep me healthy,2
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Weight Control,i choose foods that help me control my weight,2
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Convenience,i choose foods that are convenient to prepare,3
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Sensory Appeal,i choose foods for their taste,4
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Natural Content,i choose foods for ecologicalsustainability reasons,3
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Familiarity,i choose foods that are familiartraditional,2
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Price,i choose foods based on price,3
generated-92280cc0-9721-4ba6-a67b-9d8aecc3e64a,Mood,i choose foods that improve my mood,3
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Health,i choose foods because they keep me healthy,3
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Weight Control,i choose foods that help me control my weight,2
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Convenience,i choose foods that are convenient to prepare,3
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Sensory Appeal,i choose foods for their taste,4
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Natural Content,i choose foods for ecologicalsustainability reasons,4
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Ethical Concern,i choose foods for ethical or religious reasons,3
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Familiarity,i choose foods that are familiartraditional,Not very important
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Price,i choose foods based on price,4
generated-503b1cc8-8cae-4e13-9a72-6e1b45078a2b,Mood,i choose foods that improve my mood,Not very important
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Health,i choose foods because they keep me healthy,4
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Weight Control,i choose foods that help me control my weight,4
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Convenience,i choose foods that are convenient to prepare,4
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Sensory Appeal,i choose foods for their taste,4
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Familiarity,i choose foods that are familiartraditional,Not at all important
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Price,i choose foods based on price,3
generated-266d7b9a-0401-4093-8a56-3c57a3c7b738,Mood,i choose foods that improve my mood,Not at all important
generated-cba0eefb-360c-4666-8b30-af3762da3847,Health,i choose foods because they keep me healthy,2
generated-cba0eefb-360c-4666-8b30-af3762da3847,Weight Control,i choose foods that help me control my weight,1
generated-cba0eefb-360c-4666-8b30-af3762da3847,Convenience,i choose foods that are convenient to prepare,3
generated-cba0eefb-360c-4666-8b30-af3762da3847,Sensory Appeal,i choose foods for their taste,4
generated-cba0eefb-360c-4666-8b30-af3762da3847,Natural Content,i choose foods for ecologicalsustainability reasons,2
generated-cba0eefb-360c-4666-8b30-af3762da3847,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-cba0eefb-360c-4666-8b30-af3762da3847,Familiarity,i choose foods that are familiartraditional,3
generated-cba0eefb-360c-4666-8b30-af3762da3847,Price,i choose foods based on price,2
generated-cba0eefb-360c-4666-8b30-af3762da3847,Mood,i choose foods that improve my mood,4
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Health,i choose foods because they keep me healthy,3
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Weight Control,i choose foods that help me control my weight,2
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Convenience,i choose foods that are convenient to prepare,4
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Sensory Appeal,i choose foods for their taste,4
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Natural Content,i choose foods for ecologicalsustainability reasons,3
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Familiarity,i choose foods that are familiartraditional,3
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Price,i choose foods based on price,3
generated-f991180e-36b3-4282-a471-54e7253b2b6b,Mood,i choose foods that improve my mood,3
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Health,i choose foods because they keep me healthy,4
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Weight Control,i choose foods that help me control my weight,4
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Convenience,i choose foods that are convenient to prepare,Not at all important
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Sensory Appeal,i choose foods for their taste,Not very important
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Natural Content,i choose foods for ecologicalsustainability reasons,Not very important
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Familiarity,i choose foods that are familiartraditional,3
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Price,i choose foods based on price,Not very important
generated-3c01e43a-8e45-4bb5-9465-175fc10de0ab,Mood,i choose foods that improve my mood,Not at all important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Health,i choose foods because they keep me healthy,3
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Weight Control,i choose foods that help me control my weight,2
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Convenience,i choose foods that are convenient to prepare,4
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Sensory Appeal,i choose foods for their taste,4
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Familiarity,i choose foods that are familiartraditional,Not very important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Price,i choose foods based on price,Not very important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Mood,i choose foods that improve my mood,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Health,i choose foods because they keep me healthy,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Weight Control,i choose foods that help me control my weight,1
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Convenience,i choose foods that are convenient to prepare,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Sensory Appeal,i choose foods for their taste,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Natural Content,i choose foods for ecologicalsustainability reasons,2
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Familiarity,i choose foods that are familiartraditional,2
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Price,i choose foods based on price,4
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Mood,i choose foods that improve my mood,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Health,i choose foods because they keep me healthy,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Weight Control,i choose foods that help me control my weight,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Convenience,i choose foods that are convenient to prepare,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Sensory Appeal,i choose foods for their taste,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Familiarity,i choose foods that are familiartraditional,Not very important
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Price,i choose foods based on price,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Mood,i choose foods that improve my mood,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Health,i choose foods because they keep me healthy,3
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Weight Control,i choose foods that help me control my weight,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Convenience,i choose foods that are convenient to prepare,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Sensory Appeal,i choose foods for their taste,4
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Natural Content,i choose foods for ecologicalsustainability reasons,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Familiarity,i choose foods that are familiartraditional,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Price,i choose foods based on price,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Mood,i choose foods that improve my mood,4
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Health,i choose foods because they keep me healthy,Not very important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Weight Control,i choose foods that help me control my weight,Not very important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Convenience,i choose foods that are convenient to prepare,3
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Sensory Appeal,i choose foods for their taste,4
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Familiarity,i choose foods that are familiartraditional,3
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Price,i choose foods based on price,3
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Mood,i choose foods that improve my mood,4
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Health,i choose foods because they keep me healthy,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Weight Control,i choose foods that help me control my weight,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Convenience,i choose foods that are convenient to prepare,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Sensory Appeal,i choose foods for their taste,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Familiarity,i choose foods that are familiartraditional,Not very important
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Price,i choose foods based on price,4
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Mood,i choose foods that improve my mood,Not very important
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Health,i choose foods because they keep me healthy,3
